Shareholder,Share Class,Shares Issued,% Ownership (Basic),% Ownership (Fully Diluted),Vesting Start,Vesting Schedule,Cliff (months),Notes
[FOUNDER 1 NAME],Ordinary,[NUMBER],[EQUITY %],[FD %],[DATE],4yr monthly after 1yr cliff,12,CEO - see Founders Agreement
[FOUNDER 2 NAME],Ordinary,[NUMBER],[EQUITY %],[FD %],[DATE],4yr monthly after 1yr cliff,12,[ROLE]
Option Pool (unallocated),Options,[NUMBER],[OPTION POOL %],[OPTION POOL %],N/A,Per ESOP plan TBD,N/A,Reserve for post-seed hires
SAFE / Convertible Notes,[INVESTOR],N/A,N/A,[CONVERSION %],N/A,N/A,N/A,[IF APPLICABLE]
Total,,[TOTAL],100%,100%,,,

# Pro forma post-seed (example - replace with model)
# Round: USD [AMOUNT] at [PRE-MONEY] pre-money
# New investor shares: [NUMBER]
# Founder dilution: [X]%
# Post-money valuation: [AMOUNT]
